ID,Topic,Link,complete
date,2023/6/11,,
925,Long Pressed Name,,
859,Buddy Strings,,
717,1-bit and 2-bit Characters,,
506,Relative Ranks,,
2716,Minimize String Length,,
2717,Semi-Ordered Permutation,,
2718,Sum of Matrix After Queries,,
2719,Count of Integers,,
date,2023/6/4,,
2529,Maximum Count of Positive Integer and Negative Integer,,
1582,Special Positions in a Binary Matrix,,
2133,Check if Every Row and Column Contains All Numbers,,
283,Move Zeroes,,
1347,Minimum Number of Steps to Make Two Strings Anagram,,
210,Course Schedule II,,
2710,Remove Trailing Zeros From a String,,
2711,Difference of Number of Distinct Values on Diagonals,,
2712,Minimum Cost to Make All Characters Equal,,
2713,Maximum Strictly Increasing Cells in a Matrix,,
date,2023/5/28,,
832,Flipping an Image,,v
507,Perfect Number,,v
1694,Reformat Phone Number,,v
405,Convert a Number to Hexadecimal,,v
1208,Get Equal Substrings Within Budget,,v
567,Permutation in String,,v
2696,Minimum String Length After Removing Substrings,,v
2697,Lexicographically Smallest Palindrome,,v
2698,Find the Punishment Number of an Integer,,v
2699,Modify Graph Edge Weights,,
date,2023/5/21,,
1408,String Matching in an Array,,v
83,Remove Duplicates from Sorted List,,v
1152,Cells with Odd Values in a Matrix,,v
897,Increasing Order Search Tree,,v
2191,Sort the Jumbled Numbers,,v
1915,Number of Wonderful Substrings,,
2682,Find the Losers of the Circular Game,,v
2683,Neighboring Bitwise XOR,,v
2684,Maximum Number of Moves in a Grid,,v
2685,Count the Number of Complete Components,,
date,2023/5/14,,
2496,Maximum Value of a String in an Array,,v
1512,Number of Good Pairs,,v
812,Largest Triangle Area,,v
2303,Calculate Amount Paid in Taxes,,v
2400,Number of Ways to Reach a Position After Exactly k Steps,,v
1138,Alphabet Board Path,,v
2670,Find the Distinct Difference Array,,v
2671,Frequency Tracker,,v
2672,Number of Adjacent Elements With the Same Color,,v
2673,Make Costs of Paths Equal in a Binary Tree,,
date,2023/5/7,,
55,Jump Game,,v
133,Clone Graph,,
200,Number of Islands,,v
207,Course Schedule,,
417,Pacific Atlantic Water Flow,,v
2660,Determine the Winner of a Bowling Game,,v
2661,First Completely Painted Row or Column,,v
2662,Minimum Cost of a Path With Special Roads,,
2663,Lexicographically Smallest Beautiful String,,
date,2023/4/30,,
62,Unique Paths,,v
91,Decode Ways,,v
198,House Robber,,v
213,House Robber II,,v
377,Combination Sum IV,,v
2651,Calculate Delayed Arrival Time,,v
2652,Sum Multiples,,v
2653,Sliding Subarray Beauty,,v
2654,Minimum Number of Operations to Make All Array Elements Equal to 1,,v
date,2023/4/23,,
70,Climbing Stairs,,v
139,Word Break,,v
300,Longest Increasing Subsequence,,v
322,Coin Change,,v
1143,Longest Common Subsequence,,v
2643,Row With Maximum Ones,,v
2644,Find the Maximum Divisibility Score,,v
2645,Minimum Additions to Make Valid String,,
2646,Minimize the Total Price of the Trips,,
date,2023/4/16,,
190,Reverse Bits,,v
191,Number of 1 Bits,,v
268,Missing Number,,v
338,Counting Bits,,v
371,Sum of Two Integers,,v
2609,Find the Longest Balanced Substring of a Binary String,,v
2610,Convert an Array Into a 2D Array With Conditions,,v
date,2023/4/9,,
11,Container With Most Water,,v
15,3Sum,,v
33,Search in Rotated Sorted Array,,v
152,Maximum Product Subarray,,v
153,Find Minimum in Rotated Sorted Array,,v
2600,K Items With the Maximum Sum,,v
2601,Prime Subtraction Operation,,v
date,2023/3/26,,
1,Two Sum,,v
53,Maximum Subarray,,v
121,Best Time to Buy and Sell Stock,,v
217,Contains Duplicate,,v
238,Product of Array Except Self,,v
2595,Number of Even and Odd Bits,,v
2596,Check Knight Tour Configuration,,v
